ano,bioma,lat,long,mes,focos
1998,Amazônia,0,0,JANEIRO,0
1998,Amazônia,0,0,FEVEREIRO,0
1998,Amazônia,0,0,MARÇO,0
1998,Amazônia,0,0,ABRIL,0
1998,Amazônia,0,0,MAIO,0
1998,Amazônia,0,0,JUNHO,1549
1998,Amazônia,0,0,JULHO,3192
1998,Amazônia,0,0,AGOSTO,20075
1998,Amazônia,0,0,SETEMBRO,19214
1998,Amazônia,0,0,OUTUBRO,8777
1998,Amazônia,0,0,NOVEMBRO,3833
1998,Amazônia,0,0,DEZEMBRO,2547
1999,Amazônia,0,0,JANEIRO,160
1999,Amazônia,0,0,FEVEREIRO,358
1999,Amazônia,0,0,MARÇO,130
1999,Amazônia,0,0,ABRIL,70
1999,Amazônia,0,0,MAIO,449
1999,Amazônia,0,0,JUNHO,1439
1999,Amazônia,0,0,JULHO,3675
1999,Amazônia,0,0,AGOSTO,21525
1999,Amazônia,0,0,SETEMBRO,16106
1999,Amazônia,0,0,OUTUBRO,12794
1999,Amazônia,0,0,NOVEMBRO,4449
1999,Amazônia,0,0,DEZEMBRO,1703
2000,Amazônia,0,0,JANEIRO,87
2000,Amazônia,0,0,FEVEREIRO,182
2000,Amazônia,0,0,MARÇO,405
2000,Amazônia,0,0,ABRIL,92
2000,Amazônia,0,0,MAIO,930
2000,Amazônia,0,0,JUNHO,3211
2000,Amazônia,0,0,JULHO,1510
2000,Amazônia,0,0,AGOSTO,12791
2000,Amazônia,0,0,SETEMBRO,10062
2000,Amazônia,0,0,OUTUBRO,10226
2000,Amazônia,0,0,NOVEMBRO,5497
2000,Amazônia,0,0,DEZEMBRO,3175
2001,Amazônia,0,0,JANEIRO,165
2001,Amazônia,0,0,FEVEREIRO,699
2001,Amazônia,0,0,MARÇO,1134
2001,Amazônia,0,0,ABRIL,617
2001,Amazônia,0,0,MAIO,916
2001,Amazônia,0,0,JUNHO,4227
2001,Amazônia,0,0,JULHO,1816
2001,Amazônia,0,0,AGOSTO,17679
2001,Amazônia,0,0,SETEMBRO,15528
2001,Amazônia,0,0,OUTUBRO,14292
2001,Amazônia,0,0,NOVEMBRO,8346
2001,Amazônia,0,0,DEZEMBRO,4256
2002,Amazônia,0,0,JANEIRO,590
2002,Amazônia,0,0,FEVEREIRO,667
2002,Amazônia,0,0,MARÇO,901
2002,Amazônia,0,0,ABRIL,405
2002,Amazônia,0,0,MAIO,1490
2002,Amazônia,0,0,JUNHO,5702
2002,Amazônia,0,0,JULHO,7529
2002,Amazônia,0,0,AGOSTO,43484
2002,Amazônia,0,0,SETEMBRO,48549
2002,Amazônia,0,0,OUTUBRO,27110
2002,Amazônia,0,0,NOVEMBRO,23660
2002,Amazônia,0,0,DEZEMBRO,9174
2003,Amazônia,0,0,JANEIRO,3704
2003,Amazônia,0,0,FEVEREIRO,1573
2003,Amazônia,0,0,MARÇO,1997
2003,Amazônia,0,0,ABRIL,1038
2003,Amazônia,0,0,MAIO,1983
2003,Amazônia,0,0,JUNHO,6848
2003,Amazônia,0,0,JULHO,15918
2003,Amazônia,0,0,AGOSTO,34765
2003,Amazônia,0,0,SETEMBRO,47789
2003,Amazônia,0,0,OUTUBRO,25341
2003,Amazônia,0,0,NOVEMBRO,19631
2003,Amazônia,0,0,DEZEMBRO,13813
2004,Amazônia,0,0,JANEIRO,2178
2004,Amazônia,0,0,FEVEREIRO,805
2004,Amazônia,0,0,MARÇO,1035
2004,Amazônia,0,0,ABRIL,1012
2004,Amazônia,0,0,MAIO,3131
2004,Amazônia,0,0,JUNHO,9179
2004,Amazônia,0,0,JULHO,19179
2004,Amazônia,0,0,AGOSTO,43320
2004,Amazônia,0,0,SETEMBRO,71522
2004,Amazônia,0,0,OUTUBRO,23928
2004,Amazônia,0,0,NOVEMBRO,26424
2004,Amazônia,0,0,DEZEMBRO,16924
2005,Amazônia,0,0,JANEIRO,4314
2005,Amazônia,0,0,FEVEREIRO,1048
2005,Amazônia,0,0,MARÇO,758
2005,Amazônia,0,0,ABRIL,832
2005,Amazônia,0,0,MAIO,1746
2005,Amazônia,0,0,JUNHO,2954
2005,Amazônia,0,0,JULHO,19364
2005,Amazônia,0,0,AGOSTO,63764
2005,Amazônia,0,0,SETEMBRO,68560
2005,Amazônia,0,0,OUTUBRO,26624
2005,Amazônia,0,0,NOVEMBRO,16790
2005,Amazônia,0,0,DEZEMBRO,6966
2006,Amazônia,0,0,JANEIRO,1973
2006,Amazônia,0,0,FEVEREIRO,879
2006,Amazônia,0,0,MARÇO,903
2006,Amazônia,0,0,ABRIL,709
2006,Amazônia,0,0,MAIO,843
2006,Amazônia,0,0,JUNHO,2522
2006,Amazônia,0,0,JULHO,6995
2006,Amazônia,0,0,AGOSTO,34208
2006,Amazônia,0,0,SETEMBRO,51028
2006,Amazônia,0,0,OUTUBRO,18309
2006,Amazônia,0,0,NOVEMBRO,17474
2006,Amazônia,0,0,DEZEMBRO,8579
2007,Amazônia,0,0,JANEIRO,1918
2007,Amazônia,0,0,FEVEREIRO,1761
2007,Amazônia,0,0,MARÇO,1431
2007,Amazônia,0,0,ABRIL,760
2007,Amazônia,0,0,MAIO,1176
2007,Amazônia,0,0,JUNHO,3519
2007,Amazônia,0,0,JULHO,6196
2007,Amazônia,0,0,AGOSTO,46385
2007,Amazônia,0,0,SETEMBRO,73141
2007,Amazônia,0,0,OUTUBRO,28731
2007,Amazônia,0,0,NOVEMBRO,16025
2007,Amazônia,0,0,DEZEMBRO,5437
2008,Amazônia,0,0,JANEIRO,938
2008,Amazônia,0,0,FEVEREIRO,527
2008,Amazônia,0,0,MARÇO,860
2008,Amazônia,0,0,ABRIL,569
2008,Amazônia,0,0,MAIO,383
2008,Amazônia,0,0,JUNHO,1248
2008,Amazônia,0,0,JULHO,5901
2008,Amazônia,0,0,AGOSTO,21445
2008,Amazônia,0,0,SETEMBRO,26469
2008,Amazônia,0,0,OUTUBRO,23518
2008,Amazônia,0,0,NOVEMBRO,15450
2008,Amazônia,0,0,DEZEMBRO,6145
